,ID,Destination,Reason for Leaving,Entry_Date,Exit_Date,Duration
25973,360237,Place not meant for habitation,Non-compliance with program,2019-04-10,2019-04-26,16 
26085,360237,Incarcerated,Criminal activity / violence,2019-05-28,2019-06-17,20 
40309,360237,With friends temporarily,Other,2015-08-15,2015-10-08,54 
40421,360237,Medical facility,Other,2015-10-16,2015-10-28,12 
40533,360237,Incarcerated,Criminal activity / violence,2015-11-02,2015-12-05,33 
40645,360237,With friends temporarily,Other,2016-04-07,2016-04-14,7 
40757,360237,With friends temporarily,Other,2016-04-15,2016-05-02,17 
40869,360237,With friends temporarily,Other,2016-05-08,2016-05-10,2 
40981,360237,With friends temporarily,Other,2016-05-14,2016-05-16,2 
41093,360237,With friends temporarily,Other,2016-05-23,2016-07-15,53 
41205,360237,Client rental with other subsidy,Completed program,2016-07-16,2016-09-15,61 
41317,360237,No exit interview,Unknown/Disappeared,2018-07-06,2018-07-15,9 
41429,360237,Place not meant for habitation,Non-compliance with program,2018-11-19,2018-12-20,31 
41541,360237,With friends temporarily,Non-compliance with program,2019-02-11,2019-03-29,46 
41653,360237,Place not meant for habitation,Non-compliance with program,2019-04-10,2019-04-26,16 
41765,360237,Incarcerated,Criminal activity / violence,2019-05-28,2019-06-17,20 
46581,403745,With friends temporarily,Other,2015-08-15,2015-08-25,10 
46653,403745,With friends temporarily,Other,2015-10-05,2015-10-08,3 
46725,403745,With friends temporarily,Other,2015-10-26,2015-10-29,3 
46797,403745,With friends temporarily,Other,2016-03-02,2016-03-15,13 
46869,403745,With friends temporarily,Other,2016-03-21,2016-03-25,4 
46941,403745,With friends temporarily,Other,2016-05-03,2016-05-05,2 
47013,403745,With friends temporarily,Other,2016-05-09,2016-05-17,8 
47085,403745,With friends temporarily,Other,2016-06-06,2016-06-10,4 
47157,403745,With friends temporarily,Other,2016-07-11,2016-07-14,3 
52413,404039,Client rental without subsidy,Left for housing opp. before completing program,2015-08-15,2015-10-05,51 
52414,381869,With friends temporarily,Other,2015-08-15,2015-09-25,41 
52423,397313,With friends temporarily,Other,2015-08-15,2015-09-01,17 
52431,185069,With friends temporarily,Other,2015-08-15,2016-05-25,284 
52439,399028,Client rental with other subsidy,Completed program,2015-08-15,2016-04-20,249 
52447,361024,With friends temporarily,Other,2015-08-15,2015-10-08,54 
52479,361024,Medical facility,Other,2015-10-16,2015-10-28,12 
52511,361024,Medical facility,Other,2015-11-02,2016-01-03,62 
52543,361024,With family permanently,Left for housing opp. before completing program,2016-01-05,2016-03-26,81 
52959,324453,With friends permanently,Left for housing opp. before completing program,2015-08-15,2015-09-03,19 
52991,324453,With friends temporarily,Other,2016-02-16,2016-03-03,16 
53023,324453,With friends temporarily,Other,2016-03-04,2016-05-04,61 
53055,324453,No exit interview,Does not or no longer qualifies for program,2016-09-19,2017-02-12,146 
53087,324453,With friends permanently,Left for housing opp. before completing program,2015-08-15,2015-09-03,19 
53119,324453,With friends temporarily,Other,2016-02-16,2016-03-03,16 
53151,324453,With friends temporarily,Other,2016-03-04,2016-05-04,61 
53183,324453,No exit interview,Does not or no longer qualifies for program,2016-09-19,2017-02-12,146 
53343,324453,With friends permanently,Left for housing opp. before completing program,2015-08-15,2015-09-03,19 
53375,324453,With friends temporarily,Other,2016-02-16,2016-03-03,16 
53407,324453,With friends temporarily,Other,2016-03-04,2016-05-04,61 
53439,324453,No exit interview,Does not or no longer qualifies for program,2016-09-19,2017-02-12,146 
53471,395548,Permanent housing for formerly homeless,Left for housing opp. before completing program,2015-08-15,2015-09-03,19 
53573,395548,With friends temporarily,Other,2015-11-11,2016-05-03,174 
53675,395548,Data not collected,Unknown/Disappeared,2016-08-12,2016-09-05,24 
53777,395548,Data not collected,Unknown/Disappeared,2016-09-26,2016-11-20,55 
53879,395548,No exit interview,Unknown/Disappeared,2019-03-22,2019-05-12,51 
53981,395548,Medical facility,Needs could not be met,2019-05-28,2019-07-26,59 
54083,395548,Permanent housing for formerly homeless,Left for housing opp. before completing program,2015-08-15,2015-09-03,19 
54185,395548,With friends temporarily,Other,2015-11-11,2016-05-03,174 
54287,395548,Data not collected,Unknown/Disappeared,2016-08-12,2016-09-05,24 
54389,395548,Data not collected,Unknown/Disappeared,2016-09-26,2016-11-20,55 
54491,395548,No exit interview,Unknown/Disappeared,2019-03-22,2019-05-12,51 
54593,395548,Medical facility,Needs could not be met,2019-05-28,2019-07-26,59 
54695,395548,Permanent housing for formerly homeless,Left for housing opp. before completing program,2015-08-15,2015-09-03,19 
54797,395548,With friends temporarily,Other,2015-11-11,2016-05-03,174 
54899,395548,Data not collected,Unknown/Disappeared,2016-08-12,2016-09-05,24 
55001,395548,Data not collected,Unknown/Disappeared,2016-09-26,2016-11-20,55 
55103,395548,No exit interview,Unknown/Disappeared,2019-03-22,2019-05-12,51 
55205,395548,Medical facility,Needs could not be met,2019-05-28,2019-07-26,59 
55919,395548,Permanent housing for formerly homeless,Left for housing opp. before completing program,2015-08-15,2015-09-03,19 
56021,395548,With friends temporarily,Other,2015-11-11,2016-05-03,174 
56123,395548,Data not collected,Unknown/Disappeared,2016-08-12,2016-09-05,24 
56225,395548,Data not collected,Unknown/Disappeared,2016-09-26,2016-11-20,55 
56327,395548,No exit interview,Unknown/Disappeared,2019-03-22,2019-05-12,51 
56429,395548,Medical facility,Needs could not be met,2019-05-28,2019-07-26,59 
57143,393111,With friends temporarily,Other,2015-08-15,2015-12-07,114 
57151,379956,Medical facility,Other,2015-08-15,2015-10-03,49 
57159,397202,Client rental without subsidy,Left for housing opp. before completing program,2015-08-15,2015-10-31,77 
57167,251488,Client rental without subsidy,Left for housing opp. before completing program,2015-08-15,2015-11-06,83 
57207,251488,Client rental with other subsidy,Completed program,2016-06-01,2016-10-30,151 
57247,251488,Emergency shelter,Non-compliance with program,2017-03-03,2017-10-31,242 
57287,251488,Place not meant for habitation,Needs could not be met,2018-04-05,2018-07-04,90 
57327,251488,Client rental with RRH subsidy,Completed program,2018-11-19,2019-04-09,141 
57567,251488,Client rental without subsidy,Left for housing opp. before completing program,2015-08-15,2015-11-06,83 
57607,251488,Client rental with other subsidy,Completed program,2016-06-01,2016-10-30,151 
57647,251488,Emergency shelter,Non-compliance with program,2017-03-03,2017-10-31,242 
57687,251488,Place not meant for habitation,Needs could not be met,2018-04-05,2018-07-04,90 
57727,251488,Client rental with RRH subsidy,Completed program,2018-11-19,2019-04-09,141 
57967,251488,Client rental without subsidy,Left for housing opp. before completing program,2015-08-15,2015-11-06,83 
58007,251488,Client rental with other subsidy,Completed program,2016-06-01,2016-10-30,151 
58047,251488,Emergency shelter,Non-compliance with program,2017-03-03,2017-10-31,242 
58087,251488,Place not meant for habitation,Needs could not be met,2018-04-05,2018-07-04,90 
58127,251488,Client rental with RRH subsidy,Completed program,2018-11-19,2019-04-09,141 
58167,395541,Client rental without subsidy,Left for housing opp. before completing program,2015-08-15,2016-02-04,173 
58176,381870,With friends temporarily,Other,2015-08-15,2015-09-25,41 
58185,392383,With friends temporarily,Other,2015-08-15,2015-08-23,8 
58193,318262,With friends temporarily,Other,2015-08-15,2015-08-31,16 
58217,318262,With friends temporarily,Other,2015-10-21,2015-10-25,4 
58241,318262,With friends temporarily,Other,2016-04-05,2016-04-06,1 
58409,381470,With family permanently,Left for housing opp. before completing program,2015-08-15,2015-08-18,3 
58433,381470,With friends temporarily,Other,2015-09-04,2015-09-25,21 
58457,381470,Data not collected,Completed program,2015-09-28,2016-03-01,155 
58625,309651,Client rental without subsidy,Left for housing opp. before completing program,2015-08-15,2015-10-07,53 
58633,333120,With friends temporarily,Other,2015-08-15,2015-09-28,44 
58665,333120,Medical facility,Other,2015-09-29,2015-10-13,14 
58697,333120,With friends temporarily,Other,2015-10-14,2015-11-12,29 
58729,333120,Incarcerated,Other,2017-02-13,2017-02-22,9 
59017,333120,With friends temporarily,Other,2015-08-15,2015-09-28,44 
59049,333120,Medical facility,Other,2015-09-29,2015-10-13,14 
59081,333120,With friends temporarily,Other,2015-10-14,2015-11-12,29 
59113,333120,Incarcerated,Other,2017-02-13,2017-02-22,9 
59145,373187,Client rental with other subsidy,Completed program,2015-08-15,2016-04-25,254 
59154,362567,With friends temporarily,Other,2015-08-15,2015-08-20,5 
59162,158414,Client rental without subsidy,Completed program,2015-08-15,2016-04-20,249 
59170,401630,With friends temporarily,Other,2015-08-15,2015-09-04,20 
59210,401630,With friends temporarily,Other,2015-09-05,2015-09-07,2 
59250,401630,With friends temporarily,Other,2015-09-08,2015-09-11,3 
59290,401630,With friends temporarily,Other,2015-09-21,2015-10-17,26 
59330,401630,With friends temporarily,Other,2015-10-18,2015-10-25,7 
60170,401763,With friends temporarily,Other,2015-08-15,2015-08-20,5 
60178,314853,Medical facility,Other,2015-08-15,2015-08-25,10 
60194,314853,Client rental without subsidy,Completed program,2015-08-30,2015-12-10,102 
60242,400077,With friends temporarily,Other,2015-08-15,2015-08-29,14 
60250,386115,With friends temporarily,Other,2015-08-15,2015-10-05,51 
60258,399904,Client rental without subsidy,Completed program,2015-08-15,2016-06-10,300 
60266,394031,With friends temporarily,Other,2015-08-15,2015-08-30,15 
60298,394031,With friends temporarily,Other,2015-09-14,2015-09-28,14 
60330,394031,With friends temporarily,Other,2015-10-12,2016-06-27,259 
60362,394031,No exit interview,Unknown/Disappeared,2017-10-25,2018-08-11,290 
60650,394031,With friends temporarily,Other,2015-08-15,2015-08-30,15 
60682,394031,With friends temporarily,Other,2015-09-14,2015-09-28,14 
60714,394031,With friends temporarily,Other,2015-10-12,2016-06-27,259 
60746,394031,No exit interview,Unknown/Disappeared,2017-10-25,2018-08-11,290 
60778,402258,With friends temporarily,Other,2015-08-15,2015-08-18,3 
60859,402258,Medical facility,Other,2015-08-19,2015-08-26,7 
60940,402258,With friends temporarily,Other,2015-08-27,2016-01-21,147 
61021,402258,Medical facility,Other,2016-01-22,2016-04-07,76 
61102,402258,Medical facility,Other,2016-04-18,2016-04-23,5 
61183,402258,With friends temporarily,Other,2016-04-26,2016-05-24,28 
61264,402258,Medical facility,Other,2016-05-24,2016-06-20,27 
61345,402258,Data not collected,Left for housing opp. before completing program,2016-06-21,2016-11-03,135 
61426,402258,Client rental with other subsidy,Completed program,2018-11-23,2019-05-20,178 
66610,402258,With friends temporarily,Other,2015-08-15,2015-08-18,3 
66691,402258,Medical facility,Other,2015-08-19,2015-08-26,7 
66772,402258,With friends temporarily,Other,2015-08-27,2016-01-21,147 
66853,402258,Medical facility,Other,2016-01-22,2016-04-07,76 
66934,402258,Medical facility,Other,2016-04-18,2016-04-23,5 
67015,402258,With friends temporarily,Other,2016-04-26,2016-05-24,28 
67096,402258,Medical facility,Other,2016-05-24,2016-06-20,27 
67177,402258,Data not collected,Left for housing opp. before completing program,2016-06-21,2016-11-03,135 
67258,402258,Client rental with other subsidy,Completed program,2018-11-23,2019-05-20,178 
67339,403050,With friends temporarily,Other,2015-08-15,2015-08-24,9 
67427,403050,With friends temporarily,Other,2015-11-02,2015-11-09,7 
67515,403050,Data not collected,Unknown/Disappeared,2015-11-22,2015-12-02,10 
67603,403050,With friends temporarily,Other,2015-12-23,2015-12-29,6 
67691,403050,With friends temporarily,Other,2015-12-30,2016-02-04,36 
67779,403050,With friends temporarily,Other,2016-02-05,2016-04-01,56 
67867,403050,With friends temporarily,Other,2016-04-03,2016-04-13,10 
67955,403050,With friends temporarily,Other,2016-04-14,2016-04-17,3 
68043,403050,With friends temporarily,Other,2016-06-07,2016-06-10,3 
68131,403050,Place not meant for habitation,Non-compliance with program,2019-02-11,2019-03-25,42 
68219,403050,,,2019-10-16,,
76051,403050,With friends temporarily,Other,2015-08-15,2015-08-24,9 
76139,403050,With friends temporarily,Other,2015-11-02,2015-11-09,7 
76227,403050,Data not collected,Unknown/Disappeared,2015-11-22,2015-12-02,10 
76315,403050,With friends temporarily,Other,2015-12-23,2015-12-29,6 
76403,403050,With friends temporarily,Other,2015-12-30,2016-02-04,36 
76491,403050,With friends temporarily,Other,2016-02-05,2016-04-01,56 
76579,403050,With friends temporarily,Other,2016-04-03,2016-04-13,10 
76667,403050,With friends temporarily,Other,2016-04-14,2016-04-17,3 
76755,403050,With friends temporarily,Other,2016-06-07,2016-06-10,3 
76843,403050,Place not meant for habitation,Non-compliance with program,2019-02-11,2019-03-25,42 
76931,403050,,,2019-10-16,,
77019,403050,With friends temporarily,Other,2015-08-15,2015-08-24,9 
77107,403050,With friends temporarily,Other,2015-11-02,2015-11-09,7 
77195,403050,Data not collected,Unknown/Disappeared,2015-11-22,2015-12-02,10 
77283,403050,With friends temporarily,Other,2015-12-23,2015-12-29,6 
77371,403050,With friends temporarily,Other,2015-12-30,2016-02-04,36 
77459,403050,With friends temporarily,Other,2016-02-05,2016-04-01,56 
77547,403050,With friends temporarily,Other,2016-04-03,2016-04-13,10 
77635,403050,With friends temporarily,Other,2016-04-14,2016-04-17,3 
77723,403050,With friends temporarily,Other,2016-06-07,2016-06-10,3 
77811,403050,Place not meant for habitation,Non-compliance with program,2019-02-11,2019-03-25,42 
77899,403050,,,2019-10-16,,
77987,383149,Client rental without subsidy,Left for housing opp. before completing program,2015-08-15,2015-08-18,3 
77995,387590,With friends temporarily,Other,2015-08-15,2015-09-30,46 
78003,403483,With friends temporarily,Other,2015-08-15,2015-08-20,5 
78004,224787,With friends temporarily,Other,2015-08-15,2015-08-29,14 
78028,224787,Psychiatric facility,Other,2015-08-30,2017-03-02,550 
78052,224787,With family temporarily,Other,2017-03-09,2017-07-15,128 
78220,225552,Client rental with other subsidy,Completed program,2015-08-15,2015-12-14,121 
78257,225552,With family temporarily,Reached maximum time allowed,2016-09-26,2017-06-20,267 
78368,392386,With friends temporarily,Other,2015-08-15,2015-10-06,52 
78376,262238,With friends temporarily,Other,2015-08-15,2015-08-25,10 
78400,262238,With friends temporarily,Other,2015-08-28,2015-09-02,5 
78424,262238,Client rental without subsidy,Left for housing opp. before completing program,2015-09-03,2015-09-04,1 
78592,384147,Client rental without subsidy,Completed program,2015-08-15,2015-09-21,37 
78601,403049,With friends temporarily,Other,2015-08-15,2015-09-27,43 
78602,403049,With friends temporarily,Other,2015-12-19,2016-01-21,33 
78605,361597,With friends temporarily,Left for housing opp. before completing program,2015-08-15,2016-04-07,236 
78613,365130,With friends temporarily,Other,2015-08-15,2015-08-16,1 
78701,365130,With friends temporarily,Other,2015-08-17,2015-09-04,18 
78789,365130,With friends temporarily,Other,2015-09-06,2015-09-09,3 
78877,365130,With friends temporarily,Other,2015-09-15,2015-09-17,2 
78965,365130,With friends temporarily,Other,2015-09-18,2015-09-20,2 
79053,365130,With friends temporarily,Other,2015-10-01,2015-10-02,1 
79141,365130,With friends temporarily,Other,2015-10-05,2015-10-09,4 
79229,365130,With friends temporarily,Other,2015-10-12,2015-10-26,14 
79317,365130,With friends temporarily,Other,2015-10-27,2015-12-07,41 
79405,365130,With friends temporarily,Other,2015-12-08,2015-12-21,13 
79493,365130,With friends temporarily,Other,2015-12-22,2015-12-23,1 
89261,382672,With friends temporarily,Other,2015-08-15,2015-11-13,90 
89285,382672,With family temporarily,Other,2016-07-04,2017-06-30,361 
89309,382672,With family temporarily,Other,2017-07-02,2017-07-31,29 
89333,382672,With friends temporarily,Other,2015-08-15,2015-11-13,90 
89357,382672,With family temporarily,Other,2016-07-04,2017-06-30,361 
89381,382672,With family temporarily,Other,2017-07-02,2017-07-31,29 
89477,397312,Medical facility,Other,2015-08-15,2015-09-27,43 
89486,156978,With friends temporarily,Other,2015-08-15,2015-09-01,17 
89513,156978,Client rental without subsidy,Other,2015-10-27,2016-03-04,129 
89540,156978,With friends permanently,Non-compliance with program,2016-10-03,2017-03-31,179 
89648,156978,With friends temporarily,Other,2015-08-15,2015-09-01,17 
89675,156978,Client rental without subsidy,Other,2015-10-27,2016-03-04,129 
89702,156978,With friends permanently,Non-compliance with program,2016-10-03,2017-03-31,179 
89729,398931,With friends permanently,Left for housing opp. before completing program,2015-08-15,2015-08-27,12 
89761,398931,With friends temporarily,Other,2015-09-21,2015-11-03,43 
89793,398931,Safe haven,Other,2015-11-07,2016-01-26,80 
89825,398931,Client rental with RRH subsidy,Completed program,2017-06-30,2017-10-20,112 
90241,399459,With friends temporarily,Other,2015-08-19,2015-12-24,127 
90259,399459,Permanent housing for formerly homeless,Completed program,2015-12-25,2016-01-12,18 
90313,384776,Client rental without subsidy,Completed program,2015-08-15,2015-08-21,6 
90322,333631,With friends temporarily,Other,2015-08-15,2015-08-16,1 
90346,333631,With friends temporarily,Other,2015-08-20,2015-08-21,1 
90370,333631,With friends temporarily,Other,2015-08-24,2015-09-11,18 
90538,166457,With friends permanently,Completed program,2015-08-15,2015-10-15,61 
90598,166457,With friends temporarily,Other,2016-05-10,2016-05-17,7 
90658,166457,With friends temporarily,Other,2016-05-26,2016-06-24,29 
90718,166457,Subsgtance abuse treatment center,Completed program,2016-06-25,2016-11-09,137 
90778,166457,With friends permanently,Completed program,2015-08-15,2015-10-15,61 
90838,166457,With friends temporarily,Other,2016-05-10,2016-05-17,7 
90898,166457,With friends temporarily,Other,2016-05-26,2016-06-24,29 
90958,166457,Subsgtance abuse treatment center,Completed program,2016-06-25,2016-11-09,137 
91498,219392,With friends temporarily,Other,2015-08-15,2015-08-31,16 
91514,219392,Client rental without subsidy,Other,2015-09-17,2016-03-07,172 
91562,397427,Client rental with VASH subsidy,Completed program,2015-08-15,2015-09-15,31 
91570,187276,Client rental without subsidy,Completed program,2015-08-15,2015-08-26,11 
91597,187276,With family temporarily,Other,2016-12-12,2017-03-27,105 
91624,187276,Client rental with other subsidy,Completed program,2017-03-28,2017-08-11,136 
91813,217836,Client rental without subsidy,Completed program,2015-08-15,2015-12-12,119 
91821,190759,With friends temporarily,Other,2015-08-15,2015-09-04,20 
91829,397646,With friends temporarily,Other,2015-08-15,2015-09-11,27 
91885,397646,With friends temporarily,Other,2015-09-25,2015-11-07,43 
91941,397646,With friends temporarily,Other,2015-11-10,2015-12-21,41 
91997,397646,With friends temporarily,Other,2016-01-06,2016-01-16,10 
92053,397646,With friends temporarily,Other,2016-02-08,2016-05-05,87 
92109,397646,With friends temporarily,Other,2016-05-11,2016-05-12,1 
92165,397646,Data not collected,Unknown/Disappeared,2016-07-27,2016-10-09,74 
94573,402256,With friends temporarily,Other,2015-08-15,2015-11-20,97 
94600,402256,With friends temporarily,Other,2015-11-23,2016-01-22,60 
94627,402256,Client rental without subsidy,Completed program,2016-01-23,2016-04-09,77 
94816,296887,With friends temporarily,Other,2015-08-15,2015-12-21,128 
94940,296887,With friends temporarily,Other,2016-02-01,2016-02-18,17 
95064,296887,With friends temporarily,Other,2016-02-19,2016-07-02,134 
95188,296887,No exit interview,Unknown/Disappeared,2016-11-03,2016-11-15,12 
95312,296887,No exit interview,Unknown/Disappeared,2017-01-20,2017-01-26,6 
95436,296887,With family temporarily,Other,2017-02-20,2017-03-28,36 
95560,296887,With family temporarily,Other,2017-04-19,2017-05-01,12 
95684,296887,No exit interview,Unknown/Disappeared,2017-08-14,2017-08-25,11 
95808,296887,No exit interview,Unknown/Disappeared,2017-09-05,2017-09-28,23 
95932,296887,Hotel or motel without emergency voucher,Non-compliance with program,2018-09-24,2018-10-01,7 
96056,296887,Place not meant for habitation,Non-compliance with program,2018-11-19,2018-11-30,11 
96180,296887,Place not meant for habitation,Non-compliance with program,2019-04-29,2019-05-02,3 
96304,296887,Place not meant for habitation,Non-compliance with program,2019-08-19,2019-08-21,2 
96428,296887,,,2019-08-11,,
96552,296887,With friends temporarily,Non-compliance with program,2019-08-28,2019-09-16,19 
105976,296887,With friends temporarily,Other,2015-08-15,2015-12-21,128 
106100,296887,With friends temporarily,Other,2016-02-01,2016-02-18,17 
106224,296887,With friends temporarily,Other,2016-02-19,2016-07-02,134 
106348,296887,No exit interview,Unknown/Disappeared,2016-11-03,2016-11-15,12 
106472,296887,No exit interview,Unknown/Disappeared,2017-01-20,2017-01-26,6 
106596,296887,With family temporarily,Other,2017-02-20,2017-03-28,36 
106720,296887,With family temporarily,Other,2017-04-19,2017-05-01,12 
106844,296887,No exit interview,Unknown/Disappeared,2017-08-14,2017-08-25,11 
106968,296887,No exit interview,Unknown/Disappeared,2017-09-05,2017-09-28,23 
107092,296887,Hotel or motel without emergency voucher,Non-compliance with program,2018-09-24,2018-10-01,7 
107216,296887,Place not meant for habitation,Non-compliance with program,2018-11-19,2018-11-30,11 
107340,296887,Place not meant for habitation,Non-compliance with program,2019-04-29,2019-05-02,3 
107464,296887,Place not meant for habitation,Non-compliance with program,2019-08-19,2019-08-21,2 
107588,296887,,,2019-08-11,,
107712,296887,With friends temporarily,Non-compliance with program,2019-08-28,2019-09-16,19 
111556,296887,With friends temporarily,Other,2015-08-15,2015-12-21,128 
111680,296887,With friends temporarily,Other,2016-02-01,2016-02-18,17 
111804,296887,With friends temporarily,Other,2016-02-19,2016-07-02,134 
111928,296887,No exit interview,Unknown/Disappeared,2016-11-03,2016-11-15,12 
112052,296887,No exit interview,Unknown/Disappeared,2017-01-20,2017-01-26,6 
112176,296887,With family temporarily,Other,2017-02-20,2017-03-28,36 
112300,296887,With family temporarily,Other,2017-04-19,2017-05-01,12 
112424,296887,No exit interview,Unknown/Disappeared,2017-08-14,2017-08-25,11 
112548,296887,No exit interview,Unknown/Disappeared,2017-09-05,2017-09-28,23 
112672,296887,Hotel or motel without emergency voucher,Non-compliance with program,2018-09-24,2018-10-01,7 
112796,296887,Place not meant for habitation,Non-compliance with program,2018-11-19,2018-11-30,11 
112920,296887,Place not meant for habitation,Non-compliance with program,2019-04-29,2019-05-02,3 
113044,296887,Place not meant for habitation,Non-compliance with program,2019-08-19,2019-08-21,2 
113168,296887,,,2019-08-11,,
113292,296887,With friends temporarily,Non-compliance with program,2019-08-28,2019-09-16,19 
115276,296887,With friends temporarily,Other,2015-08-15,2015-12-21,128 
115400,296887,With friends temporarily,Other,2016-02-01,2016-02-18,17 
115524,296887,With friends temporarily,Other,2016-02-19,2016-07-02,134 
115648,296887,No exit interview,Unknown/Disappeared,2016-11-03,2016-11-15,12 
115772,296887,No exit interview,Unknown/Disappeared,2017-01-20,2017-01-26,6 
